 
------------------------------------------------------------
   Hello! Welcome to cookiegen v0.9.99
   We are going to make a GREAT model configuration!
------------------------------------------------------------
 
>   1. CHECKING PRIMARY OPTIONS ...
       * GCM == hadcm3l (OK)
>   2. CREATING GENIE GRID ...
       - GENIE grid generated.
>   3. READING AXES INFORMATION ...
       - Axis info read.
>   4. READING MASK & TOPO GRIDS ...
       - Mask & topo info read.
>   5. RE-GRIDING MASK ...
       - Mask re-gridded.
       * Original land area fraction    = 0.13419
       * Re-gridded land area fraction  = 0.1304
>   6. FILTERING MASK ...
       - Single cell embayments filtered out.
       - Polar connections cleaned up.
       * found 1 water masses
       * found 2 water masses
       - Small water bodies cleaned up.
       * Revised land area fraction = 0.13233
>   7. APPLYING LAND-SEA MASK ADJUSTMENTS FROM FILE: PED1_427.mask.txt
>   9. CREATE FINAL MASK ...
       * Final land area fraction   = 0.12982
       - .mask.txt saved
       - .maskzeros.txt saved
>   10. RE-GRIDING TOPOGRAPHY ...
       - Topography re-gridded.
>   11. RE-GRIDING OCEAN BATHYMETRY ...
       - Bathymetry re-gridding complete.
>  12. FILTERING BATHYMETRY ...
         -> MAKE SHALLOWER :: Loop count = 1 @ (2,54,1); s = 2; l = 1
         -> MAKE SHALLOWER :: Loop count = 1 @ (2,55,1); s = 2; l = 1
         -> MAKE SHALLOWER :: Loop count = 1 @ (2,56,1); s = 2; l = 1
         -> MAKE SHALLOWER :: Loop count = 1 @ (2,57,1); s = 2; l = 2
         -> MAKE SHALLOWER :: Loop count = 1 @ (3,60,1); s = 2; l = 2
         -> MAKE DEEPER :: Loop count = 1 @ (4,60,15); d = 4; l = 0
         -> MAKE SHALLOWER :: Loop count = 1 @ (5,53,1); s = 3; l = 0
         -> MAKE SHALLOWER :: Loop count = 1 @ (5,61,1); s = 2; l = 1
         -> MAKE SHALLOWER :: Loop count = 1 @ (6,52,1); s = 3; l = 0
         -> MAKE SHALLOWER :: Loop count = 1 @ (6,53,1); s = 3; l = 0
         -> MAKE SHALLOWER :: Loop count = 1 @ (6,54,1); s = 3; l = 0
         -> MAKE DEEPER :: Loop count = 1 @ (7,53,13); d = 4; l = 0
         -> MAKE SHALLOWER :: Loop count = 1 @ (8,57,1); s = 2; l = 1
         -> MAKE SHALLOWER :: Loop count = 1 @ (8,58,1); s = 2; l = 1
         -> MAKE SHALLOWER :: Loop count = 1 @ (8,59,1); s = 2; l = 1
